episode,eps,throughput,collision_rate,avg_reward_per_agent,avg_energy_per_agent
100,0.6057704364907278,0.0,0.0,-0.010943624940802692,0.001006750047323294
200,0.3669578217261671,0.0,0.0,-0.011089624928652484,0.0011852500562963542
300,0.22229219984074702,0.0,0.0,-0.012158812359171862,0.0022250625813612715
400,0.1346580429260134,0.27925,0.004,0.0502728748150912,0.006596500012674369
500,0.08157186144027828,0.24425,0.0,0.04412493735821044,0.007179437528597191
600,0.05,0.395,0.0,0.07096199938181234,0.01178487471700646
700,0.05,0.30825,0.137,0.01801968898879568,0.010007812194467988
800,0.05,0.371,0.0,0.06815674948976812,0.009681999957596417
900,0.05,0.3125,0.145,0.014994439181362396,0.011773062734573615
1000,0.05,0.12675,0.00375,0.012578562405025877,0.006822062520775944
1100,0.05,0.12375,0.0025,0.01206006229666673,0.005718687504646368
1200,0.05,0.3925,0.0,0.0707205618859225,0.011678812420344912
