episode,eps,throughput,collision_rate,avg_reward_per_agent,avg_energy_per_agent,loss
100,0.818566804688428,0.0,0.0,-0.012752499816017613,0.00282333337032469,1.1668587736440406
200,0.670051613737823,0.0,0.0,-0.013761916412879752,0.0038373331067462764,1.959519006919861
300,0.5484820084336942,0.0,0.0,-0.014525416359795297,0.004607499912885639,1.476075043965876
400,0.4489691650726603,0.0,0.0,-0.01174599988477227,0.0018193334197470297,1.0874013106763363
500,0.36751125485715885,0.0,0.0,-0.01389366640241739,0.003992833059824382,0.8977992457538844
600,0.3008325135754587,0.0,0.0,-0.01209299986078501,0.0021696667488431557,0.6435855992645025
700,0.24625150938385126,0.0,0.0,-0.011913833205961661,0.0020005000941455365,0.49123842667341233
800,0.20157331118604155,0.0,0.0,-0.013544083093865386,0.003625333127992538,0.3765331421285868
900,0.1650012212480241,0.0,0.0,-0.01292958313706913,0.003002500023925677,0.29031222152262925
1000,0.13506452244668335,0.25483333333333336,0.0,0.0478414999252127,0.0060643333535990674,0.28013999445587395
1100,0.11055933456595012,0.37916666666666665,0.0,0.07110508305078353,0.009874916788501045,0.3093891221344471
1200,0.09050020122412858,0.24833333333333332,0.0,0.04692683319627152,0.005156916685014342,0.3455277670890093
1300,0.07408046053969458,0.386,0.0,0.07492633287160425,0.007430333063278037,0.3167633839100599
1400,0.06063980587382501,0.3875,0.0,0.07510812454524178,0.007584791494727445,0.3449185014143586
1500,0.05,0.37433333333333335,0.0,0.07015933303931282,0.00962025007698685,0.35346739436686037
1600,0.05,0.36516666666666664,0.0,0.06845237470878056,0.009240125030744822,0.35175046351403
1700,0.05,0.3863333333333333,0.0,0.07415866628993535,0.008557583230314776,0.34470632971674203
1800,0.05,0.381,0.0,0.07477216623302471,0.007089916484042382,0.3516545312419534
1900,0.05,0.37533333333333335,0.0,0.07156095800777257,0.008906958086959398,0.34637369938492774
2000,0.05,0.378,0.0,0.07276895793967318,0.007941458228044212,0.34962479272037744
2100,0.05,0.37716666666666665,0.0,0.07209949962272852,0.00829383319078867,0.34346141063719987
2200,0.05,0.3755,0.0,0.07220583297929746,0.008381666503225764,0.34462015060186385
2300,0.05,0.37983333333333336,0.0,0.07165074967763697,0.009318416708381846,0.3496816567003727
2400,0.05,0.3943333333333333,0.0,0.07643524958077372,0.008148916508536786,0.3463196465954185
2500,0.05,0.38283333333333336,0.0,0.07483904126278745,0.00756512485089479,0.34432041353434323
2600,0.05,0.386,0.0,0.07482279132440939,0.008431791545124724,0.34109373002797366
2700,0.05,0.37466666666666665,0.0,0.07165183291344632,0.007898583168163895,0.34581516086757186
2800,0.05,0.3745,0.0,0.07108908302024065,0.00898758330848068,0.34514627899378536
2900,0.05,0.38166666666666665,0.0,0.07493633288088798,0.006960749808776503,0.356003028921783
3000,0.05,0.37783333333333335,0.0,0.07240862459679677,0.008103041516927381,0.34696322576254607
